link	mun	region	lon	lat	ekatte	settlement_type	name	type	name_tr	mun_tr	region_tr
https://www.ekatte.com/област-велико-търново/община-елена/стойчевци	Елена	Велико Търново	25.830165	42.925107	69393	с	Стойчевци		stojchevtsi	elena	veliko-trnovo
https://www.ekatte.com/област-варна/община-бяла/попович	Бяла	Варна	27.794322	42.833975	57635	с	Попович		popovich	bjala	varna
https://www.ekatte.com/област-кърджали/община-кърджали/иванци	Кърджали	Кърджали	25.397431	41.671152	32161	с	Иванци		ivantsi	krdzhali	krdzhali
https://www.ekatte.com/област-перник/община-перник/расник	Перник	Перник	22.9972	42.7017	62219	с	Расник		rasnik	pernik	pernik
https://www.ekatte.com/област-смолян/община-смолян/черешките	Смолян	Смолян	24.590392	41.503251	80604	с	Черешките		chereshkite	smoljan	smoljan
https://www.ekatte.com/област-габрово/община-дряново/нейчовци	Дряново	Габрово	25.448922	42.948271	51439	с	Нейчовци		nejchovtsi	drjanovo	gabrovo
https://www.ekatte.com/област-велико-търново/община-елена/драганосковци	Елена	Велико Търново	25.831375	42.909436	23162	с	Драганосковци		draganoskovtsi	elena	veliko-trnovo
https://www.ekatte.com/област-шумен/община-върбица/божурово	Върбица	Шумен	26.607661	42.994616	5075	с	Божурово		bozhurovo	vrbitsa	shumen
https://www.ekatte.com/област-плевен/община-пордим/одърне	Пордим	Плевен	24.93483	43.340287	53446	с	Одърне		odrne	pordim	pleven
https://www.ekatte.com/област-ямбол/община-стралджа/стралджа	Стралджа	Ямбол	26.689713	42.600227	69660	гр	Стралджа	gr	straldzha	straldzha	jambol
https://www.ekatte.com/област-габрово/община-трявна/йововци	Трявна	Габрово	25.445122	42.803953	34062	с	Йововци		jovovtsi	trjavna	gabrovo
https://www.ekatte.com/област-враца/община-мездра/долна-кремена	Мездра	Враца	23.737906	43.17113	22126	с	Долна Кремена		dolna-kremena	mezdra	vratsa
https://www.ekatte.com/област-русе/община-ветово/ветово	Ветово	Русе	26.263855	43.703291	10803	гр	Ветово	gr	vetovo	vetovo	ruse
https://www.ekatte.com/област-кърджали/община-кирково/могиляне	Кирково	Кърджали	25.231886	41.370729	48845	с	Могиляне		mogiljane	kirkovo	krdzhali
https://www.ekatte.com/област-враца/община-враца/оходен	Враца	Враца	23.714418	43.364248	54482	с	Оходен		ohoden	vratsa	vratsa
https://www.ekatte.com/област-сливен/община-нова-загора/съдиево	Нова Загора	Сливен	26.077172	42.530154	70487	с	Съдиево		sdievo	nova-zagora	sliven
https://www.ekatte.com/област-смолян/община-девин/девин	Девин	Смолян	24.391539	41.742911	20465	гр	Девин	gr	devin	devin	smoljan
https://www.ekatte.com/област-търговище/община-търговище/здравец	Търговище	Търговище	26.490293	43.286024	30644	с	Здравец		zdravets	trgovische	trgovische
https://www.ekatte.com/област-габрово/община-габрово/баланите	Габрово	Габрово	25.370472	42.83192	2347	с	Баланите		balanite	gabrovo	gabrovo
https://www.ekatte.com/област-кърджали/община-черноочене/босилица	Черноочене	Кърджали	25.232288	41.752112	5712	с	Босилица		bosilitsa	chernoochene	krdzhali
https://www.ekatte.com/област-кърджали/община-джебел/черешка	Джебел	Кърджали	25.189567	41.488693	81935	с	Черешка		chereshka	dzhebel	krdzhali
